2724,3199
19947,4671
16646,9434
27598,7149
3713,2138
21725,5518
14054,6456
33990,9924
16250,3604
12393,5379
25876,7576
34854,1163
7163,2001
3749,4772
4292,3057
4390,1704
4431,7434
4415,0788
4500,0956
4768,45
4897,9196
4907,8166
5011,4858
5027,591
5123,2501
5207,9295
5221,2914
5431,0833
5513,3052
5547,4418
5746,3751
5738,2743
5827,5284
5820,3722
6233,6275
4391,724
4326,6892
4519,6758
4429,7812
4446,7958
7024,1313
4429,4453
7428,3775
7457,0644
3483,7865
3545,9144
3677,5758
3850,4408
3771,7774
3593,8779
3551,4786
8364,0986
8457,5252
8629,759
3566,5332
3595,8962
9176,637
9464,6494
9608,6914
9630,1178
9644,1596
9690,8215
9796,0783
9866,7995
4129,7112
4155,4131
3919,5928
3820,133
3559,4001
3462,3891
3499,0304
3499,5578
3577,4363
3395,193
3137,5151
2956,8341
2801,8696
2782,4066
2797,9192
1823,3023
1897,1597
1819,7079
1740,2347
1720,4499
1684,0743
1467,785
1425,8441
1434,2959
1379,388
1407,001
1246,6368
1119,4063
997,3878
661,7876
579,1518
1537,0836
542,9533
592,8341
586,1677
457,2055
529,5116
589,4758
779,2439
684,2549
695,6718
829,9567
956,1927
1024,6544
1154,1973
